,group1,group2,test_stat,p_value
57,"('gigapath', 'GAP', 'xgb')","('gigapath', 'abmil-1_heads', 'MLP')",27.0,0.9999999990277502
58,"('gigapath', 'GAP', 'xgb')","('gigapath', 'abmil-8_heads', 'MLP')",21.0,0.9999998693354559
59,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gabmil-1_heads', 'MLP')",43.0,0.9999999896499503
60,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gabmil-8_heads', 'MLP')",37.0,0.9999999954725354
61,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gigapath_cls', 'MLP')",820.0,9.094947017729282e-13
62,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gigapath_cls', 'lr')",136.0,0.9994251919555593
63,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gigapath_cls', 'xgb')",799.0,4.065441316924989e-10
64,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gigapath_pool', 'MLP')",398.0,0.5659832984802051
65,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gigapath_pool', 'lr')",52.0,0.9999999676965672
66,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gigapath_pool', 'xgb')",677.0,9.074450372281717e-05
67,"('gigapath', 'GAP', 'xgb')","('prism', 'GAP', 'MLP')",125.0,0.9999746084140497
68,"('gigapath', 'GAP', 'xgb')","('prism', 'GAP', 'lr')",51.0,0.9999999713836587
69,"('gigapath', 'GAP', 'xgb')","('prism', 'GAP', 'xgb')",207.0,0.9946717365407219
70,"('gigapath', 'GAP', 'xgb')","('prism', 'PRISM', 'MLP')",8.0,0.9999999999827196
71,"('gigapath', 'GAP', 'xgb')","('prism', 'PRISM', 'lr')",20.0,0.9999999997207851
72,"('gigapath', 'GAP', 'xgb')","('prism', 'PRISM', 'xgb')",1.0,0.9999999999990905
73,"('gigapath', 'GAP', 'xgb')","('prism', 'abmil-1_heads', 'MLP')",54.0,0.9999999589863364
74,"('gigapath', 'GAP', 'xgb')","('prism', 'abmil-8_heads', 'MLP')",35.0,0.9999999966121322
75,"('gigapath', 'GAP', 'xgb')","('prism', 'gabmil-1_heads', 'MLP')",47.0,0.9999999825986379
76,"('gigapath', 'GAP', 'xgb')","('prism', 'gabmil-8_heads', 'MLP')",36.0,0.9999999960800778
77,"('gigapath', 'GAP', 'xgb')","('uni', 'GAP', 'MLP')",105.0,0.9999943626971799
78,"('gigapath', 'GAP', 'xgb')","('uni', 'GAP', 'lr')",47.0,0.9999999825986379
79,"('gigapath', 'GAP', 'xgb')","('uni', 'GAP', 'xgb')",124.0,0.9999763488012832
80,"('gigapath', 'GAP', 'xgb')","('uni', 'abmil-1_heads', 'MLP')",29.0,0.9999999986512194
81,"('gigapath', 'GAP', 'xgb')","('uni', 'abmil-8_heads', 'MLP')",22.0,0.9999999995934559
82,"('gigapath', 'GAP', 'xgb')","('uni', 'gabmil-1_heads', 'MLP')",25.0,0.999999999306965
83,"('gigapath', 'GAP', 'xgb')","('uni', 'gabmil-8_heads', 'MLP')",20.0,0.9999999997207851
84,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'abmil-8_heads', 'MLP')",452.0,0.19346180428219323
85,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gabmil-1_heads', 'MLP')",562.0,0.000747472168081531
86,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gabmil-8_heads', 'MLP')",504.0,0.05581944437096139
87,"('gigapath', 'abmil-1_heads', 'MLP')","('gigapath', 'gigapath_cls', 'MLP')",775.0,3.8788711813720605e-08
