|foundation_model|aggregator|classifier|fold|benign_auroc|bowens_auroc|bcc_auroc|scc_auroc|benign_auprc|bowens_auprc|bcc_auprc|scc_auprc
135|gigapath|gigapath_pool|lr|0|0.8448275862068966|0.7873873873873873|0.8554216867469879|0.9646539027982326|0.8000632524218112|0.5793107127302516|0.7548938873879145|0.7794451113778845
136|gigapath|gigapath_pool|lr|1|0.8314436885865457|0.7323943661971831|0.9501133786848073|0.9780927835051546|0.7713789801246378|0.60711861780578|0.8357806389263709|0.8484649122807018
137|gigapath|gigapath_pool|lr|2|0.8258064516129032|0.6842105263157896|0.9292682926829269|0.9306930693069306|0.7526413071511834|0.48869826926350557|0.8196284021498859|0.6071225071225071
138|gigapath|gigapath_pool|lr|3|0.7953882851842036|0.7273255813953489|0.8917638483965015|0.9886039886039886|0.7725175395342956|0.532955068072104|0.6654579205094738|0.7591269841269842
139|gigapath|gigapath_pool|lr|4|0.78125|0.7518518518518518|0.8158730158730159|0.9807692307692308|0.7362695979740219|0.6354757510443253|0.5872683686180014|0.7159090909090908
140|uni|GAP|xgb|0|0.7537481259370316|0.7495495495495496|0.7871485943775101|0.9617083946980854|0.7434148843074672|0.5649110956134737|0.570903962260505|0.7483333333333333
141|uni|GAP|xgb|1|0.7959183673469388|0.6536868268434134|0.8781179138321995|0.98840206185567|0.6792512140911167|0.5580046250554259|0.6648107787319755|0.8965659340659341
142|uni|GAP|xgb|2|0.8293906810035843|0.6511035653650254|0.9180487804878048|0.9884488448844884|0.7521923658647667|0.41457296294385754|0.7656820499196662|0.8412698412698412
143|uni|GAP|xgb|3|0.8126159554730983|0.6186046511627907|0.8108600583090378|0.9886039886039886|0.7618105337730555|0.43121720592661966|0.5707675174816681|0.8066017316017318
144|uni|GAP|xgb|4|0.7918882978723405|0.717037037037037|0.8074074074074074|0.989010989010989|0.7426021909286761|0.5263001927799239|0.6244062047003212|0.8766233766233766
145|uni|GAP|lr|0|0.8335832083958021|0.7716216216216216|0.8955823293172691|0.9941089837997054|0.8058277902126887|0.5829737459479777|0.8083012371383838|0.9325396825396826
146|uni|GAP|lr|1|0.8510959939531368|0.7630488815244407|0.921201814058957|0.990979381443299|0.8079419848486565|0.6216716613970382|0.793371119588447|0.9308035714285714
147|uni|GAP|lr|2|0.853763440860215|0.7245331069609507|0.9258536585365853|0.9818481848184819|0.8137011699177866|0.5725207738486728|0.8321111019223688|0.8523809523809522
148|uni|GAP|lr|3|0.8253379273787437|0.7811046511627907|0.9147230320699709|0.9981006647673315|0.7719609210172257|0.6101157899342291|0.7030360004098815|0.9765432098765434
149|uni|GAP|lr|4|0.7852393617021277|0.7848148148148147|0.8777777777777778|0.9670329670329669|0.7096464216879469|0.6804403132469705|0.6052192150323508|0.5961760461760461
150|resnet18|abmil-1_heads|MLP|0|0.7316341829085458|0.554054054054054|0.7923121055651176|0.9086892488954343|0.6711444978551242|0.3758604249409597|0.4828898508009474|0.5924010513296227
