,group1,group2,test_stat,p_value
59,"('gigapath', 'GAP', 'lr')","('resnet18', 'GAP', 'xgb')",819.0,1.8189894035458565e-12
60,"('gigapath', 'GAP', 'lr')","('resnet18', 'abmil-1_heads', 'MLP')",820.0,9.094947017729282e-13
61,"('gigapath', 'GAP', 'lr')","('resnet18', 'abmil-8_heads', 'MLP')",818.0,2.7284841053187847e-12
62,"('gigapath', 'GAP', 'lr')","('resnet18', 'gabmil-1_heads', 'MLP')",819.0,1.8189894035458565e-12
63,"('gigapath', 'GAP', 'lr')","('resnet18', 'gabmil-8_heads', 'MLP')",819.0,1.8189894035458565e-12
64,"('gigapath', 'GAP', 'lr')","('uni', 'GAP', 'MLP')",665.0,0.00018954880397359375
65,"('gigapath', 'GAP', 'lr')","('uni', 'GAP', 'lr')",153.0,0.9998416073749468
66,"('gigapath', 'GAP', 'lr')","('uni', 'GAP', 'xgb')",621.0,0.0019337554258527234
67,"('gigapath', 'GAP', 'lr')","('uni', 'abmil-1_heads', 'MLP')",55.0,0.9999999538658813
68,"('gigapath', 'GAP', 'lr')","('uni', 'abmil-8_heads', 'MLP')",56.0,0.9999984263816847
69,"('gigapath', 'GAP', 'lr')","('uni', 'gabmil-1_heads', 'MLP')",51.0,0.9999999713836587
70,"('gigapath', 'GAP', 'lr')","('uni', 'gabmil-8_heads', 'MLP')",35.0,0.9999999966121322
71,"('gigapath', 'GAP', 'xgb')","('gigapath', 'abmil-1_heads', 'MLP')",27.0,0.9999999990277502
72,"('gigapath', 'GAP', 'xgb')","('gigapath', 'abmil-8_heads', 'MLP')",21.0,0.9999998693354559
73,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gabmil-1_heads', 'MLP')",43.0,0.9999999896499503
74,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gabmil-8_heads', 'MLP')",37.0,0.9999999954725354
75,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gigapath_cls', 'MLP')",820.0,9.094947017729282e-13
76,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gigapath_cls', 'lr')",136.0,0.9994251919555593
77,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gigapath_cls', 'xgb')",799.0,4.065441316924989e-10
78,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gigapath_pool', 'MLP')",398.0,0.5659832984802051
79,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gigapath_pool', 'lr')",52.0,0.9999999676965672
80,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gigapath_pool', 'xgb')",677.0,9.074450372281717e-05
81,"('gigapath', 'GAP', 'xgb')","('prism', 'GAP', 'MLP')",125.0,0.9999746084140497
82,"('gigapath', 'GAP', 'xgb')","('prism', 'GAP', 'lr')",51.0,0.9999999713836587
83,"('gigapath', 'GAP', 'xgb')","('prism', 'GAP', 'xgb')",207.0,0.9946717365407219
84,"('gigapath', 'GAP', 'xgb')","('prism', 'PRISM', 'MLP')",8.0,0.9999999999827196
85,"('gigapath', 'GAP', 'xgb')","('prism', 'PRISM', 'lr')",20.0,0.9999999997207851
86,"('gigapath', 'GAP', 'xgb')","('prism', 'PRISM', 'xgb')",1.0,0.9999999999990905
87,"('gigapath', 'GAP', 'xgb')","('prism', 'abmil-1_heads', 'MLP')",54.0,0.9999999589863364
88,"('gigapath', 'GAP', 'xgb')","('prism', 'abmil-8_heads', 'MLP')",35.0,0.9999999966121322
89,"('gigapath', 'GAP', 'xgb')","('prism', 'gabmil-1_heads', 'MLP')",47.0,0.9999999825986379
