id,rank_of_pos_uni,rank_of_neg_uni,rank_of_pos_gigapath,rank_of_neg_gigapath,rank_of_pos_diff,rank_of_neg_diff
660472-6,0.9337620578778135,-1.0,0.9646302250803859,-1.0,0.03086816720257235,0.0
660396-6,0.912540192926045,-1.0,0.9427652733118971,-1.0,0.030225080385852032,0.0
660322-6,0.9646302250803859,-1.0,0.9935691318327974,-1.0,0.02893890675241151,0.0
660225-1,0.9041800643086817,-1.0,0.8784565916398713,-1.0,0.025723472668810365,0.0
660431-4,0.9691318327974277,-1.0,0.9948553054662379,-1.0,0.025723472668810254,0.0
660404-5,0.9466237942122186,-1.0,0.9723472668810289,-1.0,0.025723472668810254,0.0
660599-05,0.9273311897106109,-1.0,0.952411575562701,-1.0,0.025080385852090048,0.0
660097-1,1.0,-1.0,0.9762057877813505,-1.0,0.023794212218649524,0.0
660443-1,1.0,-1.0,0.977491961414791,-1.0,0.022508038585209,0.0
660228-3,0.9961414790996784,-1.0,0.9742765273311897,-1.0,0.021864951768488683,0.0
660399-3,0.9266881028938907,-1.0,0.9479099678456592,-1.0,0.021221864951768477,0.0
660484-1,0.8945337620578778,-1.0,0.8733118971061093,-1.0,0.021221864951768477,0.0
660204-3,0.992282958199357,-1.0,0.9717041800643087,-1.0,0.02057877813504827,0.0
660417-6,0.9909967845659164,-1.0,0.9704180064308682,-1.0,0.02057877813504827,0.0
660100-2,0.9794212218649517,-1.0,1.0,-1.0,0.02057877813504827,0.0
660509-6,0.9961414790996784,-1.0,0.9762057877813505,-1.0,0.019935691318327953,0.0
660599-04,0.9729903536977492,-1.0,0.992282958199357,-1.0,0.019292604501607746,0.0
660425-6,0.9916398713826367,-1.0,0.9729903536977492,-1.0,0.01864951768488743,0.0
660393-4,0.9742765273311897,-1.0,0.992282958199357,-1.0,0.018006430868167222,0.0
660448-3,0.9427652733118971,-1.0,0.9601286173633441,-1.0,0.017363344051447016,0.0
660304-6,0.9742765273311897,-1.0,0.9916398713826367,-1.0,0.017363344051446905,0.0
660204-4,0.9916398713826367,-1.0,0.97491961414791,-1.0,0.0167202572347267,0.0
660228-4,0.9916398713826367,-1.0,0.97491961414791,-1.0,0.0167202572347267,0.0
660071-4,0.9742765273311897,-1.0,0.9909967845659164,-1.0,0.0167202572347267,0.0
660403-6,0.9620578778135048,-1.0,0.9453376205787781,-1.0,0.0167202572347267,0.0
660600-05,0.9781350482315112,-1.0,0.9942122186495177,-1.0,0.016077170418006492,0.0
660070-5,0.9877813504823151,-1.0,0.9717041800643087,-1.0,0.01607717041800638,0.0
660326-2,0.9864951768488746,-1.0,0.9710610932475884,-1.0,0.015434083601286175,0.0
660040-4,0.9742765273311897,-1.0,0.9890675241157556,-1.0,0.014790996784565857,0.0
660472-2,0.7453376205787782,-1.0,0.760128617363344,-1.0,0.014790996784565857,0.0
660421-6,0.9993569131832798,-1.0,0.985209003215434,-1.0,0.014147909967845762,0.0
660600-03,0.9858520900321543,-1.0,1.0,-1.0,0.014147909967845651,0.0
660391-3,0.9813504823151126,-1.0,0.9954983922829582,-1.0,0.014147909967845651,0.0
660600-01,0.9864951768488746,-1.0,1.0,-1.0,0.013504823151125445,0.0
660393-5,0.9318327974276527,-1.0,0.9446945337620579,-1.0,0.012861736334405238,0.0
660487-4,0.9646302250803859,-1.0,0.977491961414791,-1.0,0.012861736334405127,0.0
660509-2,1.0,-1.0,0.9877813504823151,-1.0,0.01221864951768492,0.0
660547-3,0.9729903536977492,-1.0,0.985209003215434,-1.0,0.01221864951768481,0.0
660320-3,1.0,-1.0,0.9884244372990354,-1.0,0.011575562700964603,0.0
660472-3,0.8643086816720257,-1.0,0.8527331189710611,-1.0,0.011575562700964603,0.0
660619-06,1.0,-1.0,0.9890675241157556,-1.0,0.010932475884244397,0.0
660439-3,0.9954983922829582,-1.0,0.9845659163987138,-1.0,0.010932475884244397,0.0
660600-04,0.9890675241157556,-1.0,1.0,-1.0,0.010932475884244397,0.0
660404-6,0.9536977491961415,-1.0,0.9646302250803859,-1.0,0.010932475884244397,0.0
660545-5,0.9832797427652733,-1.0,0.9729903536977492,-1.0,0.01028938906752408,0.0
660100-6,0.9897106109324759,-1.0,0.9993569131832798,-1.0,0.009646302250803873,0.0
660322-1,0.9858520900321543,-1.0,0.9954983922829582,-1.0,0.009646302250803873,0.0
660443-4,1.0,-1.0,0.9909967845659164,-1.0,0.009003215434083556,0.0
660425-3,1.0,-1.0,0.9909967845659164,-1.0,0.009003215434083556,0.0
660448-6,1.0,-1.0,0.9909967845659164,-1.0,0.009003215434083556,0.0
660599-02,0.997427652733119,-1.0,0.9884244372990354,-1.0,0.009003215434083556,0.0
660534-6,0.997427652733119,-1.0,0.9884244372990354,-1.0,0.009003215434083556,0.0
660432-6,0.9909967845659164,-1.0,1.0,-1.0,0.009003215434083556,0.0
660534-3,0.9993569131832798,-1.0,0.9909967845659164,-1.0,0.00836012861736335,0.0
660600-02,0.9916398713826367,-1.0,1.0,-1.0,0.00836012861736335,0.0
660434-6,0.9916398713826367,-1.0,1.0,-1.0,0.00836012861736335,0.0
660204-1,0.9909967845659164,-1.0,0.9993569131832798,-1.0,0.00836012861736335,0.0
660487-3,0.9961414790996784,-1.0,0.9884244372990354,-1.0,0.007717041800643032,0.0
660597-05,0.992282958199357,-1.0,1.0,-1.0,0.007717041800643032,0.0
660434-4,0.9909967845659164,-1.0,0.9987138263665595,-1.0,0.007717041800643032,0.0
660403-5,0.9016077170418006,-1.0,0.9093247588424437,-1.0,0.007717041800643032,0.0
660391-4,0.992282958199357,-1.0,0.9993569131832798,-1.0,0.0070739549839228255,0.0
660441-4,0.9819935691318328,-1.0,0.9890675241157556,-1.0,0.0070739549839228255,0.0
660393-6,0.9659163987138264,-1.0,0.9729903536977492,-1.0,0.0070739549839228255,0.0
660440-6,0.9967845659163987,-1.0,0.9909967845659164,-1.0,0.005787781350482302,0.0
660397-3,0.9961414790996784,-1.0,0.9903536977491961,-1.0,0.005787781350482302,0.0
660500-5,0.9832797427652733,-1.0,0.9890675241157556,-1.0,0.005787781350482302,0.0
660396-4,1.0,-1.0,0.9948553054662379,-1.0,0.005144694533762095,0.0
660443-3,1.0,-1.0,0.9948553054662379,-1.0,0.005144694533762095,0.0
660584-02,1.0,-1.0,0.9948553054662379,-1.0,0.005144694533762095,0.0
660230-6,0.9993569131832798,-1.0,0.9942122186495177,-1.0,0.005144694533762095,0.0
660171-6,0.8437299035369775,-1.0,0.8385852090032154,-1.0,0.005144694533762095,0.0
660391-5,0.9961414790996784,-1.0,0.9909967845659164,-1.0,0.005144694533761984,0.0
660233-1,1.0,-1.0,0.9954983922829582,-1.0,0.004501607717041778,0.0
660440-2,1.0,-1.0,0.9954983922829582,-1.0,0.004501607717041778,0.0
660421-5,1.0,-1.0,0.9954983922829582,-1.0,0.004501607717041778,0.0
660509-4,1.0,-1.0,0.9954983922829582,-1.0,0.004501607717041778,0.0
660188-5,1.0,-1.0,0.9954983922829582,-1.0,0.004501607717041778,0.0
660396-3,1.0,-1.0,0.9954983922829582,-1.0,0.004501607717041778,0.0
660441-5,1.0,-1.0,0.9954983922829582,-1.0,0.004501607717041778,0.0
660508-4,1.0,-1.0,0.9954983922829582,-1.0,0.004501607717041778,0.0
660320-4,1.0,-1.0,0.9954983922829582,-1.0,0.004501607717041778,0.0
660100-5,0.9954983922829582,-1.0,1.0,-1.0,0.004501607717041778,0.0
660391-6,0.9954983922829582,-1.0,0.9909967845659164,-1.0,0.004501607717041778,0.0
660472-5,0.9916398713826367,-1.0,0.9961414790996784,-1.0,0.004501607717041778,0.0
660326-1,0.9877813504823151,-1.0,0.9832797427652733,-1.0,0.004501607717041778,0.0
660534-5,1.0,-1.0,0.9961414790996784,-1.0,0.0038585209003215715,0.0
660422-4,1.0,-1.0,0.9961414790996784,-1.0,0.0038585209003215715,0.0
660444-3,1.0,-1.0,0.9961414790996784,-1.0,0.0038585209003215715,0.0
660381-2,1.0,-1.0,0.9961414790996784,-1.0,0.0038585209003215715,0.0
660437-6,1.0,-1.0,0.9961414790996784,-1.0,0.0038585209003215715,0.0
660598-05,1.0,-1.0,0.9961414790996784,-1.0,0.0038585209003215715,0.0
660497-1,0.9993569131832798,-1.0,0.9954983922829582,-1.0,0.0038585209003215715,0.0
660560-01,0.997427652733119,-1.0,0.9935691318327974,-1.0,0.0038585209003215715,0.0
660597-06,0.9961414790996784,-1.0,1.0,-1.0,0.0038585209003215715,0.0
660234-4,0.9961414790996784,-1.0,1.0,-1.0,0.0038585209003215715,0.0
660066-6,0.9961414790996784,-1.0,1.0,-1.0,0.0038585209003215715,0.0
660204-2,0.9961414790996784,-1.0,1.0,-1.0,0.0038585209003215715,0.0
660234-3,0.9961414790996784,-1.0,1.0,-1.0,0.0038585209003215715,0.0
660434-5,0.9961414790996784,-1.0,1.0,-1.0,0.0038585209003215715,0.0
660098-1,0.9961414790996784,-1.0,1.0,-1.0,0.0038585209003215715,0.0
660437-1,0.9916398713826367,-1.0,0.9954983922829582,-1.0,0.0038585209003215715,0.0
660448-4,0.9659163987138264,-1.0,0.9620578778135048,-1.0,0.0038585209003215715,0.0
660441-6,0.9993569131832798,-1.0,0.9961414790996784,-1.0,0.003215434083601365,0.0
660598-04,0.9993569131832798,-1.0,0.9961414790996784,-1.0,0.003215434083601365,0.0
660369-4,0.9961414790996784,-1.0,0.9993569131832798,-1.0,0.003215434083601365,0.0
660421-2,0.9961414790996784,-1.0,0.9993569131832798,-1.0,0.003215434083601365,0.0
660205-2,1.0,-1.0,0.9967845659163987,-1.0,0.003215434083601254,0.0
660589-03,1.0,-1.0,0.9967845659163987,-1.0,0.003215434083601254,0.0
660619-01,1.0,-1.0,0.9967845659163987,-1.0,0.003215434083601254,0.0
660508-6,1.0,-1.0,0.9967845659163987,-1.0,0.003215434083601254,0.0
660345-2,1.0,-1.0,0.9967845659163987,-1.0,0.003215434083601254,0.0
660597-02,1.0,-1.0,0.9967845659163987,-1.0,0.003215434083601254,0.0
660378-6,1.0,-1.0,0.9967845659163987,-1.0,0.003215434083601254,0.0
660437-2,0.997427652733119,-1.0,0.9942122186495177,-1.0,0.003215434083601254,0.0
660349-1,0.9942122186495177,-1.0,0.9909967845659164,-1.0,0.003215434083601254,0.0
660204-5,0.9942122186495177,-1.0,0.9909967845659164,-1.0,0.003215434083601254,0.0
660547-4,0.9742765273311897,-1.0,0.977491961414791,-1.0,0.003215434083601254,0.0
660071-3,0.9729903536977492,-1.0,0.9762057877813505,-1.0,0.003215434083601254,0.0
660551-06,0.997427652733119,-1.0,1.0,-1.0,0.0025723472668810476,0.0
660179-4,0.997427652733119,-1.0,1.0,-1.0,0.0025723472668810476,0.0
660432-4,0.997427652733119,-1.0,1.0,-1.0,0.0025723472668810476,0.0
660551-05,0.997427652733119,-1.0,1.0,-1.0,0.0025723472668810476,0.0
660433-5,0.9980707395498393,-1.0,0.9961414790996784,-1.0,0.0019292604501608412,0.0
660598-03,0.9948553054662379,-1.0,0.9967845659163987,-1.0,0.0019292604501608412,0.0
660437-3,0.9987138263665595,-1.0,0.9967845659163987,-1.0,0.0019292604501607302,0.0
660560-02,0.9987138263665595,-1.0,0.9967845659163987,-1.0,0.0019292604501607302,0.0
660525-4,0.9980707395498393,-1.0,1.0,-1.0,0.0019292604501607302,0.0
660483-1,0.9819935691318328,-1.0,0.980064308681672,-1.0,0.0019292604501607302,0.0
660100-4,0.9762057877813505,-1.0,0.9742765273311897,-1.0,0.0019292604501607302,0.0
660321-5,1.0,-1.0,0.9987138263665595,-1.0,0.0012861736334405238,0.0
660345-1,1.0,-1.0,0.9987138263665595,-1.0,0.0012861736334405238,0.0
660589-01,1.0,-1.0,0.9987138263665595,-1.0,0.0012861736334405238,0.0
660222-1,1.0,-1.0,0.9987138263665595,-1.0,0.0012861736334405238,0.0
660438-1,0.9987138263665595,-1.0,1.0,-1.0,0.0012861736334405238,0.0
660066-2,0.9987138263665595,-1.0,1.0,-1.0,0.0012861736334405238,0.0
660404-3,0.997427652733119,-1.0,0.9961414790996784,-1.0,0.0012861736334405238,0.0
660437-4,0.9961414790996784,-1.0,0.9948553054662379,-1.0,0.0012861736334405238,0.0
660417-3,0.9961414790996784,-1.0,0.997427652733119,-1.0,0.0012861736334405238,0.0
660391-1,0.9942122186495177,-1.0,0.9954983922829582,-1.0,0.0012861736334405238,0.0
660399-6,0.9479099678456592,-1.0,0.9491961414790997,-1.0,0.0012861736334405238,0.0
660506-3,0.9382636655948553,-1.0,0.9369774919614148,-1.0,0.0012861736334405238,0.0
660443-5,0.9839228295819936,-1.0,0.985209003215434,-1.0,0.0012861736334404128,0.0
660404-4,0.9987138263665595,-1.0,0.9993569131832798,-1.0,0.0006430868167203174,0.0
660188-6,0.9961414790996784,-1.0,0.9967845659163987,-1.0,0.0006430868167203174,0.0
660599-03,0.9961414790996784,-1.0,0.9967845659163987,-1.0,0.0006430868167203174,0.0
660487-1,0.9909967845659164,-1.0,0.9903536977491961,-1.0,0.0006430868167203174,0.0
660403-4,0.9909967845659164,-1.0,0.9903536977491961,-1.0,0.0006430868167203174,0.0
660598-06,0.9858520900321543,-1.0,0.985209003215434,-1.0,0.0006430868167203174,0.0
660427-1,1.0,-1.0,0.9993569131832798,-1.0,0.0006430868167202064,0.0
660440-4,1.0,-1.0,0.9993569131832798,-1.0,0.0006430868167202064,0.0
660422-6,1.0,-1.0,0.9993569131832798,-1.0,0.0006430868167202064,0.0
660443-2,1.0,-1.0,0.9993569131832798,-1.0,0.0006430868167202064,0.0
660534-2,1.0,-1.0,0.9993569131832798,-1.0,0.0006430868167202064,0.0
660440-3,1.0,-1.0,0.9993569131832798,-1.0,0.0006430868167202064,0.0
660408-2,1.0,-1.0,0.9993569131832798,-1.0,0.0006430868167202064,0.0
660042-2,1.0,-1.0,0.9993569131832798,-1.0,0.0006430868167202064,0.0
660444-1,1.0,-1.0,0.9993569131832798,-1.0,0.0006430868167202064,0.0
660515-4,1.0,-1.0,0.9993569131832798,-1.0,0.0006430868167202064,0.0
660194-6,1.0,-1.0,0.9993569131832798,-1.0,0.0006430868167202064,0.0
660593-02,1.0,-1.0,0.9993569131832798,-1.0,0.0006430868167202064,0.0
660593-01,1.0,-1.0,0.9993569131832798,-1.0,0.0006430868167202064,0.0
660098-2,0.9993569131832798,-1.0,1.0,-1.0,0.0006430868167202064,0.0
660434-3,0.9993569131832798,-1.0,1.0,-1.0,0.0006430868167202064,0.0
660112-5,0.9993569131832798,-1.0,1.0,-1.0,0.0006430868167202064,0.0
660438-2,0.9993569131832798,-1.0,1.0,-1.0,0.0006430868167202064,0.0
660397-4,0.9993569131832798,-1.0,1.0,-1.0,0.0006430868167202064,0.0
660432-3,0.9993569131832798,-1.0,1.0,-1.0,0.0006430868167202064,0.0
660510-1,0.9993569131832798,-1.0,1.0,-1.0,0.0006430868167202064,0.0
660431-6,0.9993569131832798,-1.0,1.0,-1.0,0.0006430868167202064,0.0
660066-5,0.9993569131832798,-1.0,1.0,-1.0,0.0006430868167202064,0.0
660112-6,0.9993569131832798,-1.0,1.0,-1.0,0.0006430868167202064,0.0
660510-3,0.9993569131832798,-1.0,1.0,-1.0,0.0006430868167202064,0.0
660179-3,0.9993569131832798,-1.0,1.0,-1.0,0.0006430868167202064,0.0
660525-3,0.9993569131832798,-1.0,1.0,-1.0,0.0006430868167202064,0.0
660439-2,0.9993569131832798,-1.0,1.0,-1.0,0.0006430868167202064,0.0
660320-5,0.9961414790996784,-1.0,0.9954983922829582,-1.0,0.0006430868167202064,0.0
660391-2,0.9916398713826367,-1.0,0.9909967845659164,-1.0,0.0006430868167202064,0.0
660233-3,0.9890675241157556,-1.0,0.9884244372990354,-1.0,0.0006430868167202064,0.0
660530-5,-1.0,0.6956521739130435,-1.0,0.9304347826086956,0.0,0.23478260869565215
660524-4,-1.0,0.7669565217391304,-1.0,0.9704347826086956,0.0,0.20347826086956522
660628-02,-1.0,0.7756521739130435,-1.0,0.9721739130434782,0.0,0.1965217391304347
660450-6,-1.0,0.991304347826087,-1.0,0.8034782608695652,0.0,0.1878260869565218
660435-3,-1.0,0.7182608695652174,-1.0,0.8991304347826087,0.0,0.18086956521739128
660536-2,-1.0,0.8,-1.0,0.9773913043478261,0.0,0.17739130434782602
660628-01,-1.0,0.7756521739130435,-1.0,0.951304347826087,0.0,0.17565217391304344
660419-6,-1.0,0.8521739130434782,-1.0,0.6782608695652174,0.0,0.17391304347826086
660608-03,-1.0,0.8921739130434783,-1.0,0.7234782608695652,0.0,0.16869565217391302
660530-4,-1.0,0.8139130434782609,-1.0,0.9808695652173913,0.0,0.16695652173913045
660470-1,-1.0,0.9130434782608695,-1.0,0.7513043478260869,0.0,0.1617391304347826
660435-4,-1.0,0.7565217391304347,-1.0,0.9165217391304348,0.0,0.16000000000000003
660634-01,-1.0,0.9321739130434783,-1.0,0.7721739130434783,0.0,0.16000000000000003
660548-4,-1.0,0.9930434782608696,-1.0,0.8347826086956521,0.0,0.15826086956521745
660402-2,-1.0,0.9756521739130435,-1.0,0.8226086956521739,0.0,0.15304347826086961
660527-2,-1.0,0.8191304347826087,-1.0,0.9721739130434782,0.0,0.1530434782608695
660050-2,-1.0,0.8365217391304348,-1.0,0.9895652173913043,0.0,0.1530434782608695
660530-2,-1.0,0.8486956521739131,-1.0,0.9982608695652174,0.0,0.14956521739130435
660608-05,-1.0,0.9095652173913044,-1.0,0.7669565217391304,0.0,0.14260869565217393
660522-1,-1.0,0.8539130434782609,-1.0,0.9965217391304347,0.0,0.14260869565217382
660450-5,-1.0,0.9878260869565217,-1.0,0.8486956521739131,0.0,0.13913043478260867
660465-4,-1.0,0.8121739130434783,-1.0,0.6782608695652174,0.0,0.13391304347826094
660470-4,-1.0,0.991304347826087,-1.0,0.8626086956521739,0.0,0.1286956521739131
660530-6,-1.0,0.6504347826086957,-1.0,0.7773913043478261,0.0,0.1269565217391304
660423-4,-1.0,0.96,-1.0,0.8330434782608696,0.0,0.1269565217391304
660401-2,-1.0,0.9391304347826087,-1.0,0.8139130434782609,0.0,0.12521739130434784
660542-6,-1.0,0.9756521739130435,-1.0,0.8504347826086956,0.0,0.12521739130434784
660627-06,-1.0,0.9008695652173913,-1.0,0.7756521739130435,0.0,0.12521739130434772
660045-5,-1.0,0.8104347826086956,-1.0,0.9304347826086956,0.0,0.12
660245-5,-1.0,0.8486956521739131,-1.0,0.9669565217391304,0.0,0.11826086956521731
660191-6,-1.0,0.7756521739130435,-1.0,0.8904347826086957,0.0,0.11478260869565216
660524-1,-1.0,0.8730434782608696,-1.0,0.9878260869565217,0.0,0.11478260869565216
660423-3,-1.0,0.96,-1.0,0.8469565217391304,0.0,0.11304347826086958
660542-5,-1.0,0.9634782608695652,-1.0,0.8504347826086956,0.0,0.11304347826086958
660524-3,-1.0,0.8608695652173913,-1.0,0.9721739130434782,0.0,0.11130434782608689
660527-1,-1.0,0.8608695652173913,-1.0,0.9721739130434782,0.0,0.11130434782608689
660337-6,-1.0,0.8382608695652174,-1.0,0.9478260869565217,0.0,0.10956521739130431
660198-2,-1.0,0.8782608695652174,-1.0,0.9878260869565217,0.0,0.10956521739130431
660198-1,-1.0,0.8643478260869565,-1.0,0.9721739130434782,0.0,0.10782608695652174
660400-4,-1.0,0.9582608695652174,-1.0,0.8521739130434782,0.0,0.10608695652173916
660384-2,-1.0,0.9634782608695652,-1.0,0.8573913043478261,0.0,0.10608695652173916
660450-3,-1.0,0.9739130434782609,-1.0,0.8678260869565217,0.0,0.10608695652173916
660465-5,-1.0,0.9391304347826087,-1.0,0.8347826086956521,0.0,0.10434782608695659
660581-02,-1.0,0.9582608695652174,-1.0,0.8539130434782609,0.0,0.10434782608695647
660419-5,-1.0,0.8608695652173913,-1.0,0.7617391304347826,0.0,0.09913043478260875
660163-2,-1.0,0.9565217391304348,-1.0,0.8573913043478261,0.0,0.09913043478260875
660634-05,-1.0,0.9739130434782609,-1.0,0.8747826086956522,0.0,0.09913043478260875
660620-02,-1.0,0.9982608695652174,-1.0,0.8991304347826087,0.0,0.09913043478260875
660050-6,-1.0,0.888695652173913,-1.0,0.9860869565217392,0.0,0.09739130434782617
660627-05,-1.0,0.9739130434782609,-1.0,0.88,0.0,0.0939130434782609
660548-3,-1.0,0.9982608695652174,-1.0,0.9043478260869565,0.0,0.0939130434782609
660595-02,-1.0,0.9808695652173913,-1.0,0.888695652173913,0.0,0.09217391304347833
660601-03,-1.0,0.9652173913043478,-1.0,0.8747826086956522,0.0,0.09043478260869564
660335-3,-1.0,0.9721739130434782,-1.0,0.8817391304347826,0.0,0.09043478260869564
660573-04,-1.0,0.9808695652173913,-1.0,0.8904347826086957,0.0,0.09043478260869564
660620-05,-1.0,0.8991304347826087,-1.0,0.9878260869565217,0.0,0.08869565217391306
660394-4,-1.0,0.9843478260869565,-1.0,0.8956521739130435,0.0,0.08869565217391295
660470-2,-1.0,0.9252173913043479,-1.0,0.8382608695652174,0.0,0.08695652173913049
660625-06,-1.0,1.0,-1.0,0.9130434782608695,0.0,0.08695652173913049
660464-1,-1.0,0.9739130434782609,-1.0,0.888695652173913,0.0,0.08521739130434791
660452-2,-1.0,0.782608695652174,-1.0,0.8678260869565217,0.0,0.0852173913043478
660465-6,-1.0,0.8573913043478261,-1.0,0.7721739130434783,0.0,0.0852173913043478
660608-04,-1.0,0.9391304347826087,-1.0,0.8556521739130435,0.0,0.08347826086956522
